s,p,old_o,new_o,New_triple_already_exists
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C109203,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107687,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48556,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84027,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C851,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32531,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40702,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18992,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26498,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C72224,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14336,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85967,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49704,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48276,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1931,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73105,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C921,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C167198,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53294,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43242,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97900,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1566,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C514,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104895,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74162,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38149,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C185586,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C170218,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67413,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88202,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47486,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29728,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21098,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C108534,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107687,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4741,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C169764,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C667,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C156312,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64919,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64493,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84464,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45902,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85058,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24819,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C132172,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17728,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68565,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29753,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18515,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C164539,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86344,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85932,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66973,0.0
