s,p,old_o,new_o,New_triple_already_exists
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140990,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140968,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140237,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27786,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9073,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140968,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134285,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134283,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4523,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C178269,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C156745,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89197,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133581,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133580,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C164300,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133667,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133663,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6060,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5992,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115120,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6153,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140378,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89447,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133011,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87501,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140982,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140971,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89618,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133590,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133589,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41024,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8479,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8477,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74881,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7859,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7597,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C178268,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24184,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24183,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24170,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8339,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8337,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89366,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15160,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140971,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C191224,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C181302,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5653,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8169,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4648,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C186012,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15164,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14294,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22130,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8927,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C165241,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150202,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24221,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24225,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5881,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24099,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24088,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5888,0.0
