s,p,old_o,new_o,New_triple_already_exists
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49597,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38617,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126614,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104159,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104158,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92145,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50417,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36291,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24794,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36902,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36898,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80751,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126043,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125932,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124875,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53304,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3824,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38178,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C11747,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61063,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96380,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C11961,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61063,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C134709,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123744,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25464,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C178871,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37107,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37162,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48181,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C160800,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C160778,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C185615,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24398,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20348,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97610,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142472,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19498,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24729,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28343,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27993,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93687,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133335,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C802,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99620,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115644,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19498,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126956,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115491,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25474,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81800,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18901,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20021,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C105055,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66507,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93038,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C179232,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C121401,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91106,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C131206,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162324,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C82438,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95068,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C11222,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61063,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93038,0.0
